date,open,high,low,close,volume,Name,returns,gain,loss,RSI,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,compound,negative,neutral,positive
2013-02-08,67.7142,68.4014,66.8928,67.8542,158168416,AAPL,,0.0,0.0,,67.8542,67.8542,0.0,0.0,0.0,-0.427256,0.21436000000000002,0.7663599999999999,0.019200000000000002
2013-02-11,68.0714,69.2771,67.6071,68.5614,129029425,AAPL,0.010422346737563704,0.010422346737563704,0.0,,67.96300000000001,67.9065851851852,0.05641481481481492,0.011282962962962984,0.04513185185185194,-0.06650400000000001,0.10424000000000001,0.8265999999999998,0.06928000000000001
2013-02-12,68.5014,68.9114,66.8205,66.8428,151829363,AAPL,-0.02506658265438,0.0,0.02506658265438,,67.79066153846155,67.82778628257888,-0.03712474411733524,0.001601421546903339,-0.03872616566423858,-0.194552,0.1294,0.8197200000000001,0.05091999999999999
2013-02-13,66.7442,67.6628,66.1742,66.7156,118721995,AAPL,-0.001902972347059051,0.0,0.001902972347059051,,67.62526745562131,67.74540211349897,-0.12013465787765654,-0.022745794338008638,-0.0973888635396479,-0.18624,0.15876,0.78216,0.059080000000000014
2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154,AAPL,-0.0008993398845246192,0.0,0.0008993398845246192,,67.47608784706419,67.66467603101756,-0.18858818395337096,-0.0559142722610811,-0.13267391169228987,-0.379672,0.19827999999999998,0.78032,0.021400000000000002
2013-02-15,66.9785,67.1656,65.7028,65.7371,97924631,AAPL,-0.013779787444715974,0.0,0.013779787444715974,,67.20855125520816,67.52189262131256,-0.313341366104396,-0.10739969102974409,-0.20594167507465191,-0.252236,0.13227999999999998,0.8263199999999999,0.041440000000000005
2013-02-19,65.8714,66.1042,64.8356,65.7128,108854046,AAPL,-0.0003696542743747422,0.0,0.0003696542743747422,,66.97843567748383,67.38788576047459,-0.4094500829907588,-0.16780976942194703,-0.24164031356881177,-0.07753199999999999,0.11667999999999998,0.79476,0.0886
2013-02-20,65.3842,65.3842,64.1142,64.1214,118891367,AAPL,-0.02421750404791767,0.0,0.02421750404791767,,66.5388917271017,67.14592385229129,-0.6070321251895905,-0.2556542405754757,-0.3513778846141148,-0.26102800000000004,0.16224,0.80604,0.03172
2013-02-21,63.7142,64.1671,63.2599,63.7228,111596821,AAPL,-0.006216333392595863,0.0,0.006216333392595863,,66.10564684600914,66.89235912249192,-0.7867122764827883,-0.3618658477569382,-0.4248464287258501,-0.29482400000000003,0.15288,0.8086,0.03856
2013-02-22,64.1785,64.5142,63.7999,64.4014,82583823,AAPL,0.010649249562166174,0.010649249562166174,0.0,,65.8434550235462,66.70784363193697,-0.8643886083907688,-0.4623703998837043,-0.4020182085070645,-0.277764,0.17032,0.7951999999999999,0.03448
2013-02-25,64.8356,65.0171,63.2242,63.2571,92899597,AAPL,-0.017768247274127513,0.0,0.017768247274127513,,65.44555425069294,66.45223299253422,-1.0066787418412844,-0.5712320682752203,-0.43544667356606404,-0.16420400000000002,0.1604,0.7736399999999999,0.06608
2013-02-26,63.4028,64.5056,62.5228,64.1385,125096657,AAPL,0.01393361377616098,0.01393361377616098,0.0,,65.24446898135555,66.28084536345762,-1.0363763821020626,-0.6642609310405888,-0.3721154510614738,-0.252052,0.16856,0.7834399999999999,0.04803999999999999
2013-02-27,64.0614,64.6342,62.9499,63.5099,146674682,AAPL,-0.009800665746782178,0.0,0.009800665746782178,,64.97761221499316,66.07559015134964,-1.0979779363564859,-0.7510043321037683,-0.3469736042527176,-0.371552,0.21595999999999996,0.7311599999999998,0.05296
2013-02-28,63.4357,63.9814,63.0571,63.0571,80532382,AAPL,-0.007129597117929709,0.0,0.007129597117929709,24.624522435765954,64.6821487973019,65.85199828828671,-1.1698494909848023,-0.8347733638799751,-0.33507612710482715,-0.25336400000000003,0.15191999999999997,0.81108,0.03704
2013-03-01,62.5714,62.5971,61.4257,61.4957,137899041,AAPL,-0.02476168425125802,0.0,0.02476168425125802,20.971553977741976,64.1919259054093,65.5293095261914,-1.3373836207820915,-0.9352954152603985,-0.402088205521693,-0.22408000000000006,0.16732,0.76456,0.068
2013-03-04,61.1142,61.1714,59.8571,60.0071,145406366,AAPL,-0.02420657054070441,0.0,0.02420657054070441,13.604105229407438,63.548106535346335,65.12025696869574,-1.5721504333494067,-1.0626664188782002,-0.5094840144712065,-0.0023400000000000022,0.11771999999999999,0.8028,0.07952
2013-03-05,60.2114,62.1699,60.1071,61.5919,159298020,AAPL,0.02641020812537187,0.02641020812537187,0.0,28.011179453367063,63.247151683754595,64.8588971932368,-1.6117455094822049,-1.1724822369990013,-0.4392632724832035,-0.38298800000000005,0.19895999999999997,0.7636799999999998,0.03732
2013-03-06,62.0728,62.1785,60.6328,60.8088,114903180,AAPL,-0.012714334190047749,0.0,0.012714334190047749,26.44090029802946,62.87202065548466,64.55888999373778,-1.6868693382531177,-1.2753596572498247,-0.411509681003293,-0.149388,0.14092,0.7846000000000001,0.07444
2013-03-07,60.6428,61.7157,60.1514,61.5117,116992841,AAPL,0.01155918222362562,0.01155918222362562,0.0,30.735696184883864,62.66274055464087,64.33317221642386,-1.6704316617829917,-1.354374058156458,-0.3160576036265337,-0.13989199999999996,0.13484000000000002,0.78972,0.07544
2013-03-08,61.3999,62.2042,61.2299,61.6742,97854442,AAPL,0.0026417738413992975,0.0026417738413992975,0.0,33.88839574947653,62.510657392388424,64.13621131150357,-1.6255539191151485,-1.4086100303481963,-0.21694388876695214,-0.191752,0.15232,0.78356,0.06412
2013-03-11,61.3928,62.7157,60.7342,62.5528,118272126,AAPL,0.014245827266506916,0.014245827266506916,0.0,38.51539848976757,62.51714087048251,64.01892158472553,-1.5017807142430257,-1.4272441671271623,-0.07453654711586344,-0.319184,0.18188,0.7820799999999999,0.036000000000000004
2013-03-12,62.2285,62.6971,61.0814,61.2042,116268341,AAPL,-0.02155938663017476,0.0,0.02155938663017476,39.01824782220661,62.31514996733135,63.81042368956068,-1.495273722229328,-1.4408500781475955,-0.0544236440817325,-0.272528,0.19292,0.7303599999999999,0.07668
2013-03-13,61.2071,62.0714,60.7657,61.1928,101369051,AAPL,-0.00018626172713642752,0.0,0.00018626172713642752,40.209151689161715,62.14248074158806,63.61652563848211,-1.4740448968940498,-1.4474890418968864,-0.026555854997163397,-0.20974399999999999,0.14727999999999997,0.77956,0.07328
2013-03-14,61.8328,62.0914,61.4928,61.7857,75834906,AAPL,0.009689048384777355,0.009689048384777355,0.0,39.91714063242553,62.08759139672836,63.48090892452047,-1.3933175277921137,-1.4366547390759319,0.04333721128381818,0.04971999999999998,0.0682,0.8574,0.07440000000000001
2013-03-15,62.5614,63.4614,62.4642,63.3799,160710606,AAPL,0.025802086890655884,0.025802086890655884,0.0,50.95857009618549,62.28640810492399,63.473426781963404,-1.1870186770394113,-1.3867275266686279,0.19970884962921653,-0.198244,0.14864,0.7896,0.061679999999999985
2013-03-18,63.0642,65.3514,63.0285,65.1028,150441144,AAPL,0.027183697039597776,0.027183697039597776,0.0,53.940818310453196,62.71969916570492,63.59412109441056,-0.8744219287056438,-1.2842664070760312,0.4098444783703874,-0.30298400000000003,0.22507999999999995,0.71736,0.057519999999999995
2013-03-19,65.6428,65.8528,64.0714,64.9271,131531708,AAPL,-0.002698808653391338,0.0,0.002698808653391338,55.758185212954544,63.05929929405801,63.692860272602374,-0.6335609785443665,-1.1541253213696983,0.5205643428253317,-0.28255600000000003,0.14980000000000002,0.8128799999999999,0.03732
2013-03-20,65.3456,65.3756,64.2271,64.5828,77016849,AAPL,-0.005302870450089259,0.0,0.005302870450089259,56.24561876789251,63.293684018049085,63.758781733891084,-0.4650977158419991,-1.0163198002641585,0.5512220844221594,-0.302616,0.17267999999999997,0.77012,0.05732
2013-03-21,64.3171,65.4256,64.2999,64.6756,95493524,AAPL,0.001436915091943991,0.001436915091943991,0.0,64.08677010160875,63.506286476810764,63.8266941980473,-0.3204077212365348,-0.8771373844586338,0.5567296632220989,-0.25525200000000003,0.13899999999999998,0.8120800000000002,0.04888
2013-03-22,64.9399,66.0142,64.7299,65.9871,98570591,AAPL,0.020278126526850793,0.020278126526850793,0.0,76.63199281719692,63.88795009576295,63.9867242574512,-0.09877416168824737,-0.7214647399045566,0.6226905782163092,-0.197508,0.13956000000000002,0.8088399999999999,0.05164
2013-03-25,66.3842,67.1356,65.9685,66.2256,125073165,AAPL,0.003614342803366144,0.003614342803366144,0.0,73.27987512677085,64.24758854256865,64.15256690504741,0.09502163752124204,-0.5581674644193969,0.653189101940639,-0.157916,0.1312,0.8022400000000001,0.06656000000000001
2013-03-26,66.4914,66.5485,65.7899,65.8765,73428208,AAPL,-0.005271375419777402,0.0,0.005271375419777402,76.88072122760266,64.49819030525039,64.28026565282167,0.21792465242872083,-0.40294904104977336,0.6208736934784942,-0.228568,0.13396000000000002,0.8122,0.05383999999999999
2013-03-27,65.2085,65.2571,64.3899,64.5828,81854409,AAPL,-0.019638262506356363,0.0,0.019638262506356363,65.74278770434702,64.51120718136572,64.30267560446451,0.20853157690120838,-0.28065291745957704,0.4891844943607854,-0.165716,0.15239999999999998,0.7884399999999999,0.059160000000000004
2013-03-28,64.2599,64.5455,63.0885,63.2371,110698007,AAPL,-0.020836817233071514,0.0,0.020836817233071514,57.526635915279314,64.31519069192484,64.22374407820789,0.09144661371695406,-0.20623301122427082,0.2976796249412249,-0.21752000000000002,0.16508000000000003,0.78412,0.05088
2013-04-01,63.1285,63.3854,61.1057,61.2728,97294421,AAPL,-0.031062461751092396,0.0,0.031062461751092396,45.23232327672874,63.84713058547487,64.00515562797027,-0.15802504249539595,-0.19659141747849584,0.038566374983099894,-0.27226799999999995,0.16152,0.77976,0.05856
2013-04-02,61.0857,62.5914,60.9142,61.3988,132350022,AAPL,0.002056377381154606,0.002056377381154606,0.0,51.44630700482915,63.47046434155566,63.81209224812062,-0.341627906564959,-0.2255987152957885,-0.1160291912691705,-0.28422000000000003,0.19351999999999997,0.76268,0.043680000000000004
2013-04-03,61.6242,62.4685,61.4728,61.7128,90719482,AAPL,0.005114106464621404,0.005114106464621404,0.0,52.8791531211603,63.20005444285479,63.6565891186302,-0.4565346757754085,-0.2717859073917125,-0.18474876838369603,-0.18945599999999999,0.1348,0.8188,0.04636
2013-04-04,61.9657,62.1428,60.7499,61.1028,89589332,AAPL,-0.009884497219377453,0.0,0.009884497219377453,47.44438813011955,62.87739991318483,63.467419554287225,-0.5900196411023941,-0.3354326541338488,-0.2545869869685453,-0.217784,0.16576000000000002,0.7756400000000001,0.05856
2013-04-05,60.6428,60.7071,59.9542,60.4571,95743088,AAPL,-0.010567437171455363,0.0,0.010567437171455363,36.18367870415736,62.50504608038717,63.24443292063632,-0.7393868402491535,-0.4162234913569098,-0.3231633488922437,-0.145652,0.11188,0.83268,0.05544
2013-04-08,60.6928,61.0714,60.3557,60.8871,75169647,AAPL,0.007112481412439475,0.007112481412439475,0.0,27.342455543113303,62.25613129878914,63.06981566725585,-0.8136843684667099,-0.49571566677886986,-0.31796870168784,-0.169456,0.12431999999999999,0.8153199999999999,0.06040000000000001
2013-04-09,60.9085,61.2142,60.3928,60.9971,76615504,AAPL,0.0018066224208412862,0.0018066224208412862,0.0,28.766632289618414,62.0624341758985,62.916281173385045,-0.8538469974865421,-0.5673419329204044,-0.2865050645661378,-0.198304,0.12544,0.8314400000000001,0.04316
2013-04-10,61.1571,62.4371,60.8585,62.2414,93895844,AAPL,0.020399330459972553,0.020399330459972553,0.0,38.86009012512887,62.08996737960643,62.86628997535652,-0.776322595750095,-0.6091380654863425,-0.16718453026375246,-0.085676,0.1458,0.74616,0.10808
2013-04-11,61.9599,62.5699,61.5999,62.0471,82073628,AAPL,-0.0031217164138338527,0.0,0.0031217164138338527,37.55903330448579,62.08337239812852,62.80560923644123,-0.7222368383127105,-0.6317578200516162,-0.09047901826109428,-0.14057599999999998,0.14131999999999997,0.7879200000000001,0.07076
2013-04-12,62.0214,62.0214,61.2985,61.3999,59651011,AAPL,-0.010430785645098584,0.0,0.010430785645098584,26.57312525049285,61.97822279841644,62.701482626334474,-0.7232598279180351,-0.6500582216249,-0.0732016062931351,-0.063204,0.10739999999999998,0.8173600000000001,0.07528
2013-04-15,60.9999,61.1271,59.9357,59.9785,79157071,AAPL,-0.023149874836929762,0.0,0.023149874836929762,21.407133276630404,61.6705731371216,62.499780209568954,-0.8292070724473533,-0.6858879917893906,-0.14331908065796262,-0.14822000000000007,0.14376,0.78596,0.07032000000000001
2013-04-16,60.2242,60.9442,60.0814,60.8914,76222076,AAPL,0.015220453996015237,0.015220453996015237,0.0,28.663537157352437,61.550700346795196,62.38064093478607,-0.8299405879908761,-0.7146985110296877,-0.11524207696118838,-0.29015199999999997,0.19104000000000002,0.76508,0.043840000000000004
2013-04-17,60.0385,60.0857,56.8728,57.5428,236138966,AAPL,-0.05499298751547832,0.0,0.05499298751547832,23.9666030781013,60.934100293442086,62.02228234702414,-1.0881820535820523,-0.7893952195401607,-0.29878683404189166,-0.23955599999999996,0.17348,0.7805600000000001,0.04592
2013-04-18,57.8557,57.9699,55.6774,56.0071,166438048,AAPL,-0.02668796096123227,0.0,0.02668796096123227,23.333807272803114,60.176100248297146,61.57671328428161,-1.4006130359844633,-0.9116387828290213,-0.48897425315544196,-0.246408,0.20688000000000004,0.7116,0.08156000000000001
2013-04-19,55.4242,57.0857,55.0142,55.7899,152194413,AAPL,-0.0038780797434611047,0.0,0.0038780797434611047,26.596364024735507,59.50130021009758,61.1480604484089,-1.646760238311316,-1.0586630739254803,-0.5880971643858357,-0.07323600000000002,0.16028000000000003,0.7284,0.1112
2013-04-22,56.0914,57.4571,55.8964,56.9528,107338322,AAPL,0.020844274680542618,0.020844274680542618,0.0,33.06461614855279,59.10922325469795,60.837300415193425,-1.7280771604954737,-1.192545891239479,-0.5355312692559946,-0.279072,0.19596,0.7595999999999999,0.044399999999999995
