date,compound,negative,neutral,positive
2008-08-08,-0.30944000000000005,0.19284,0.7692000000000001,0.038
2008-08-11,-0.12074,0.15028,0.7826000000000001,0.06708
2008-08-12,-0.217556,0.15712,0.78496,0.05788
2008-08-13,-0.16872399999999999,0.14496,0.8133199999999999,0.04172000000000001
2008-08-14,-0.130748,0.15432,0.7627600000000001,0.08288000000000001
2008-08-15,-0.155992,0.15832,0.7704,0.07132000000000001
2008-08-18,-0.204204,0.15552,0.8045600000000002,0.03988
2008-08-19,-0.27397600000000005,0.17387999999999998,0.7807200000000001,0.04536
2008-08-20,-0.160044,0.14111999999999997,0.80628,0.05260000000000001
2008-08-21,-0.23953200000000002,0.20756000000000005,0.7516799999999999,0.04076
2008-08-22,-0.078788,0.12128000000000001,0.7970399999999997,0.08164000000000002
2008-08-25,-0.417096,0.24928,0.7440399999999999,0.00668
2008-08-26,-0.292036,0.26972,0.6742400000000002,0.05608
2008-08-27,-0.206636,0.15791999999999998,0.78984,0.05224
2008-08-28,-0.0049080000000000104,0.10392,0.79964,0.09643999999999998
2008-08-29,-0.05902399999999999,0.08708,0.8385999999999999,0.07432
2008-09-02,-0.24597600000000003,0.21119999999999997,0.7378399999999999,0.05096
2008-09-03,-0.127324,0.1346,0.8108399999999999,0.054560000000000004
2008-09-04,-0.146444,0.17268000000000006,0.7392400000000001,0.08803999999999998
2008-09-05,-0.23128,0.16047999999999998,0.7840399999999998,0.05548
2008-09-08,-0.309656,0.19383999999999996,0.76908,0.03708000000000001
2008-09-09,-0.27315199999999995,0.16748000000000002,0.7910400000000002,0.04152
2008-09-10,-0.25613600000000003,0.17748,0.7779599999999999,0.044559999999999995
2008-09-11,-0.169724,0.16860000000000003,0.7911599999999999,0.04016
2008-09-12,-0.17973199999999995,0.13300000000000003,0.8349999999999999,0.03196
2008-09-15,-0.23803200000000005,0.18843999999999997,0.7438799999999999,0.06764
2008-09-16,-0.341344,0.21183999999999997,0.74076,0.04732
2008-09-17,-0.22316799999999998,0.15116000000000002,0.8391200000000001,0.00968
2008-09-18,-0.305512,0.20996000000000004,0.7712399999999998,0.018799999999999997
2008-09-19,-0.292056,0.20836,0.7700000000000001,0.021560000000000003
2008-09-22,-0.26096,0.17856000000000002,0.7640399999999998,0.0574
2008-09-23,-0.16603999999999997,0.15180000000000002,0.7856799999999999,0.06251999999999999
2008-09-24,-0.2899280000000001,0.21111999999999997,0.7736799999999999,0.0152
2008-09-25,-0.23339200000000002,0.15192,0.8480800000000001,0.0
2008-09-26,-0.21743600000000002,0.18316,0.7995199999999998,0.01732
2008-09-29,-0.15497599999999997,0.12675999999999998,0.8112,0.06204
2008-09-30,-0.187592,0.19363999999999998,0.7357600000000001,0.07064
2008-10-01,-0.17789599999999997,0.18704,0.7320399999999999,0.08088
2008-10-02,-0.16427599999999998,0.14492000000000002,0.7781999999999999,0.07684
2008-10-03,-0.16588,0.13751999999999998,0.8180399999999998,0.04444000000000001
2008-10-06,-0.074768,0.12364000000000001,0.79824,0.07816000000000001
2008-10-07,-0.21756400000000004,0.17536000000000002,0.7618400000000001,0.06276000000000001
2008-10-08,-0.23912000000000003,0.18195999999999998,0.759,0.05904
2008-10-09,-0.23597599999999996,0.153,0.8126399999999998,0.034319999999999996
2008-10-10,-0.157616,0.13716,0.8063599999999999,0.056479999999999995
2008-10-13,-0.074304,0.13544,0.7648799999999999,0.09968
2008-10-14,-0.23662400000000003,0.14468000000000003,0.81124,0.044039999999999996
2008-10-15,-0.137472,0.10247999999999999,0.84536,0.0522
2008-10-16,-0.1499,0.16844,0.77168,0.05988
2008-10-17,-0.28275599999999995,0.17952,0.79432,0.026159999999999996
2008-10-20,-0.141356,0.17228,0.7402799999999999,0.08744
2008-10-21,-0.10364399999999999,0.135,0.76732,0.09768
2008-10-22,-0.19403199999999995,0.13576,0.8092,0.05516
2008-10-23,-0.12903199999999998,0.17048,0.7761600000000002,0.053399999999999996
2008-10-24,-0.26891600000000004,0.19879999999999995,0.735,0.06624
2008-10-27,-0.25773599999999997,0.18328,0.77776,0.03888
2008-10-28,-0.250136,0.18239999999999998,0.7567199999999998,0.06092
2008-10-29,-0.16447599999999998,0.18700000000000003,0.73088,0.08216000000000001
2008-10-30,-0.308168,0.21392,0.7321199999999999,0.05396
2008-10-31,-0.20234799999999997,0.2432,0.6634799999999998,0.09344
2008-11-03,-0.23309600000000003,0.1494,0.7924,0.058199999999999995
2008-11-04,-0.11262,0.13484,0.78328,0.08192
2008-11-05,-0.07894399999999999,0.13988,0.7687200000000002,0.09136000000000001
2008-11-06,-0.222528,0.17948,0.7649200000000002,0.05551999999999999
2008-11-07,-0.20409600000000006,0.163,0.79588,0.04116
2008-11-10,-0.161496,0.14612,0.78776,0.06616
2008-11-11,-0.310764,0.20772,0.73624,0.05612
2008-11-12,-0.356584,0.22603999999999996,0.7569199999999999,0.01704
2008-11-13,-0.132848,0.15148,0.7780400000000001,0.07048
2008-11-14,-0.15282,0.11728,0.8214400000000001,0.06128
2008-11-17,-0.147888,0.11824,0.8615999999999999,0.02016
2008-11-18,-0.28657999999999995,0.19364,0.7648400000000001,0.04152
2008-11-19,0.06001999999999999,0.08128000000000002,0.7889999999999999,0.12971999999999997
2008-11-20,-0.058648000000000006,0.12380000000000001,0.8049600000000001,0.07123999999999998
2008-11-21,-0.207816,0.1434,0.79868,0.05788
2008-11-24,-0.226692,0.17939999999999998,0.78968,0.03096
2008-11-25,-0.24593600000000002,0.19296,0.7581200000000001,0.04891999999999999
