Date,Close,High,Low,Open,Volume
,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO
2018-01-02,6061.2998046875,6074.10009765625,6035.7998046875,6065.10009765625,0
2018-01-03,6070.39990234375,6082.2998046875,6060.7998046875,6061.2998046875,0
2018-01-04,6077.10009765625,6102.2001953125,6068.7998046875,6070.39990234375,0
2018-01-05,6122.2998046875,6124.7998046875,6077.10009765625,6077.10009765625,0
2018-01-08,6130.39990234375,6143.0,6122.2998046875,6122.2998046875,0
2018-01-09,6135.7998046875,6149.60009765625,6130.39990234375,6130.39990234375,0
2018-01-10,6096.7001953125,6150.0,6096.5,6135.7998046875,0
2018-01-11,6067.60009765625,6097.10009765625,6053.89990234375,6096.7001953125,0
2018-01-12,6070.10009765625,6086.0,6067.60009765625,6067.60009765625,0
2018-01-15,6077.10009765625,6103.60009765625,6070.10009765625,6070.10009765625,0
2018-01-16,6048.60009765625,6077.7998046875,6042.0,6077.10009765625,0
2018-01-17,6015.7998046875,6048.60009765625,6012.89990234375,6048.60009765625,0
2018-01-18,6014.60009765625,6035.60009765625,6014.60009765625,6015.7998046875,0
2018-01-19,6005.7998046875,6028.7001953125,6002.2001953125,6014.60009765625,0
2018-01-22,5991.89990234375,6017.7998046875,5991.89990234375,6005.7998046875,0
2018-01-23,6037.0,6041.0,5991.89990234375,5991.89990234375,0
2018-01-24,6054.7001953125,6066.2998046875,6036.2001953125,6037.0,0
2018-01-25,6050.0,6056.0,6029.10009765625,6054.7001953125,0
2018-01-29,6075.39990234375,6090.2001953125,6050.0,6050.0,0
2018-01-30,6022.7998046875,6075.39990234375,6016.5,6075.39990234375,0
2018-01-31,6037.7001953125,6043.7001953125,5993.60009765625,6022.7998046875,0
2018-02-01,6090.10009765625,6093.60009765625,6037.7001953125,6037.7001953125,0
2018-02-02,6121.39990234375,6121.39990234375,6077.7998046875,6090.10009765625,0
2018-02-05,6026.2001953125,6121.39990234375,6013.2001953125,6121.39990234375,0
2018-02-06,5833.2998046875,6026.2001953125,5795.89990234375,6026.2001953125,0
2018-02-07,5876.7998046875,5938.60009765625,5833.2998046875,5833.2998046875,0
2018-02-08,5890.7001953125,5893.60009765625,5838.10009765625,5876.7998046875,0
2018-02-09,5838.0,5890.7001953125,5786.7998046875,5890.7001953125,0
2018-02-12,5820.7001953125,5840.5,5791.2998046875,5838.0,0
2018-02-13,5855.89990234375,5860.2001953125,5814.89990234375,5820.7001953125,0
2018-02-14,5841.2001953125,5868.10009765625,5830.7998046875,5855.89990234375,0
2018-02-15,5909.0,5913.10009765625,5841.2001953125,5841.2001953125,0
2018-02-16,5904.0,5938.10009765625,5902.2998046875,5909.0,0
2018-02-19,5941.60009765625,5949.60009765625,5890.2001953125,5904.39990234375,7891300
2018-02-20,5940.89990234375,5942.2998046875,5912.7001953125,5941.60009765625,0
2018-02-21,5943.7001953125,5955.2001953125,5920.2001953125,5940.89990234375,0
2018-02-22,5950.89990234375,5973.10009765625,5928.2998046875,5943.7001953125,0
2018-02-23,5999.7998046875,6003.39990234375,5950.89990234375,5950.89990234375,0
2018-02-26,6042.2001953125,6042.2001953125,5999.7998046875,5999.7998046875,0
2018-02-27,6056.89990234375,6083.0,6042.2001953125,6042.2001953125,0
2018-02-28,6016.0,6056.89990234375,6012.60009765625,6056.89990234375,0
2018-03-01,5973.2998046875,6016.0,5957.5,6016.0,0
2018-03-02,5928.89990234375,5973.2998046875,5902.2001953125,5973.2998046875,0
2018-03-05,5959.5,5960.2001953125,5895.0,5895.0,34463900
2018-03-06,5962.39990234375,5979.5,5895.0,5895.0,0
2018-03-07,5902.0,5962.39990234375,5895.2998046875,5962.39990234375,0
2018-03-08,5942.89990234375,5942.89990234375,5895.60009765625,5902.0,0
2018-03-09,5963.2001953125,5978.39990234375,5942.10009765625,5942.89990234375,0
2018-03-12,5996.10009765625,6026.10009765625,5971.2998046875,5971.2998046875,0
2018-03-13,5974.7001953125,5996.10009765625,5949.60009765625,5996.10009765625,0
2018-03-14,5935.2998046875,5974.7001953125,5922.7998046875,5974.7001953125,0
2018-03-15,5920.7998046875,5935.2998046875,5906.10009765625,5935.2998046875,0
2018-03-16,5949.39990234375,5952.7001953125,5920.89990234375,5920.89990234375,0
2018-03-19,5959.39990234375,5982.5,5933.5,5949.39990234375,0
2018-03-20,5936.39990234375,5959.39990234375,5915.60009765625,5959.39990234375,0
2018-03-21,5950.2998046875,5963.0,5934.7001953125,5936.39990234375,0
