date,Close,High,Low,Open,Volume,Returns,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,ROC_5,ROC_10,ROC_20,RSI_14,Stoch_K,Stoch_D,Williams_R,ATR_14,BB_Upper_20,BB_Middle_20,BB_Lower_20,BB_Width_20,BB_%B_20,Volatility_5,Volatility_10,Volatility_20,Volatility_50,DIplus,DIminus,DX,ADX,SMA_Cross_5_20,SMA_Cross_10_50,SMA_Cross_50_200,OBV,Volume_ROC_5,Volume_ROC_10,Volume_ROC_20,MFI_14,RSI_Close_Ratio,MACD_BB_Signal,Price_to_MA_50,Price_to_MA_200,Trend_Strength,Close_Lag_1,Returns_Lag_1,Close_Lag_2,Returns_Lag_2,Close_Lag_3,Returns_Lag_3,Close_Lag_4,Returns_Lag_4,Close_Lag_5,Returns_Lag_5,RSI_14_Lag_1,RSI_14_Lag_2,MACD_Lag_1,MACD_Lag_2,ATR_14_Lag_1,ATR_14_Lag_2,Target_Next_Close,Target_Next_Return,Target_Direction
2019-01-31,5864.7001953125,5912.60009765625,5864.7001953125,5886.7001953125,947600.0,-0.373723805698789,5879.38017578125,5873.371786369666,5871.95009765625,5857.624183006283,5807.4650390625,5812.447430778302,5708.086005859375,5778.830642139979,5847.302006835937,5840.083796996291,6005.275002441406,5925.085619046097,5848.333789585981,5793.522762784079,54.8110268019027,50.827224688748345,3.983802113154354,0.35936135150884674,0.5055524919898691,5.521976346937829,61.07219533779341,68.09860610304165,76.33277248549149,-31.901393896958353,38.06431361607143,5977.46901085504,5807.4650390625,5637.46106726996,0.05854670519720732,0.6683347619661653,0.5112681578882199,0.4413614333794598,0.5523161931341847,0.8925877574829605,34.077681467499865,13.0418369403874,44.64358982835298,47.65266381073397,1,1,-1,44927700.0,82.79320987654322,72.6047358834244,170.58823529411765,61.15757051146671,1.0413523846727375,1,0.02743725117182172,-0.02340855449113599,0.01307458105981487,5886.7001953125,0.2127949267029638,5874.2001953125,-0.53169706421895,5905.60009765625,0.6802240314913277,5865.7001953125,0.3764737968187992,5843.7001953125,-0.2577253000336177,67.5746751910222,71.5748419467442,57.529511272082345,57.92249310460829,37.492885044642854,38.3857421875,5862.7998046875,-0.0324038836037821,0
2019-02-01,5862.7998046875,5881.60009765625,5857.39990234375,5864.7001953125,723800.0,-0.0324038836037821,5878.80009765625,5869.847792475611,5873.220068359375,5858.56520513014,5818.935034179687,5817.242894960131,5711.467998046875,5782.123550475176,5844.513002929688,5840.533618930771,6005.184001464844,5924.465859699246,5850.559330370831,5798.654395517665,51.904934853166196,51.042766721631914,0.8621681315342826,-0.04944662237115205,0.2170852945975632,4.072139495161875,64.96939541652233,66.8981088775721,72.38731806201429,-33.10189112242789,37.364327566964285,5969.312428355649,5818.935034179687,5668.557640003725,0.05168553808993023,0.6458489513938683,0.48244330358796955,0.4359282632932703,0.49222202191064296,0.8870555760012644,32.17350720146363,14.681744779755626,37.33148725508751,46.27650693664778,1,1,-1,44203900.0,33.863510264471984,48.930041152263385,60.38112120540659,53.52967950081088,1.1081632936635015,1,0.02649613141356566,-0.023710213832350946,0.012261484091542024,5864.7001953125,-0.373723805698789,5886.7001953125,0.2127949267029638,5874.2001953125,-0.53169706421895,5905.60009765625,0.6802240314913277,5865.7001953125,0.3764737968187992,61.07219533779341,67.5746751910222,54.8110268019027,57.529511272082345,38.06431361607143,37.492885044642854,5891.2001953125,0.4844168583463037,1
2019-02-04,5891.2001953125,5899.2001953125,5848.89990234375,5862.7998046875,604200.0,0.4844168583463037,5875.9201171875,5876.965260087907,5874.380078125,5864.498839708751,5832.525048828125,5824.286447374642,5715.856005859375,5786.401065958993,5841.628002929688,5841.536917472984,6005.296003417969,5924.134858063557,5856.811771131088,5805.509639946911,51.30213118417669,51.09463961414087,0.20749157003582042,-0.2438347010571329,0.19729399046839458,4.8368206159413285,68.30332282826566,83.07478814215911,72.69050104092427,-16.925211857840893,37.771484375,5953.161674094905,5832.525048828125,5711.888423561346,0.04136686058159933,0.7431896049587704,0.41586768210539576,0.4335298435834728,0.48421870928443767,0.886631317310173,35.154997673095814,11.176250064636227,51.75502232142856,47.00697565461855,1,1,-1,44808100.0,-8.218137627221633,34.05813179498558,26.986128625472894,59.48083114254832,1.1594126928942787,1,0.030676803137339004,-0.0189991980479447,0.014420237382384205,5862.7998046875,-0.0324038836037821,5864.7001953125,-0.373723805698789,5886.7001953125,0.2127949267029638,5874.2001953125,-0.53169706421895,5905.60009765625,0.6802240314913277,64.96939541652233,61.07219533779341,51.904934853166196,54.8110268019027,37.364327566964285,38.06431361607143,6005.89990234375,1.946966716943588,1
2019-02-05,6005.89990234375,6039.2001953125,5891.2001953125,5891.2001953125,736600.0,1.946966716943588,5902.26005859375,5919.943474173188,5885.930078125,5890.208123824204,5848.6600341796875,5841.582966895509,5723.1180078125,5795.008863464278,5839.928002929688,5844.791630044682,6005.895502929688,5924.948440593708,5879.748406702267,5820.353363087418,59.39504361484887,52.754720414282474,6.6403232005663995,2.2420023603612282,1.9608176340292882,5.678133726441881,74.1967997984125,85.78127019735552,78.58472240569556,-14.218729802644473,45.40004185267857,5971.50512349143,5848.6600341796875,5725.814944867945,0.04200794321907351,1.1399924858414034,0.895763079300071,0.7501895255864554,0.5866037357258045,0.920688832847243,49.21326562752072,9.298307610758156,68.21720184178842,49.83500581290787,1,1,-1,45544700.0,4.393424036281179,95.69606801275239,67.5614194722475,61.030751443029075,1.2353985415151167,1,0.049410460197611084,7.325159188109609e-07,0.02462370571166401,5891.2001953125,0.4844168583463037,5862.7998046875,-0.0324038836037821,5864.7001953125,-0.373723805698789,5886.7001953125,0.2127949267029638,5874.2001953125,-0.53169706421895,68.30332282826566,64.96939541652233,51.30213118417669,51.904934853166196,37.771484375,37.364327566964285,6026.10009765625,0.3363391938086879,1
2019-02-06,6026.10009765625,6042.5,5990.5,6005.89990234375,582200.0,0.3363391938086879,5930.1400390625,5955.3290153342095,5902.660107421875,5914.91575543003,5863.845043945313,5859.15602696796,5729.814013671875,5804.07126480514,5838.902001953125,5848.381896730059,6006.418002929688,5925.954924743585,5902.264051464419,5835.593861944369,66.67018952005037,55.53781423543606,11.132375284614312,2.3680482735429997,2.8555386520443315,5.307217260158836,74.1706697331083,92.2459090573286,87.03398913228106,-7.754090942671395,46.95717075892857,5995.724985879549,5863.845043945313,5731.965102011076,0.04498070496266227,1.1151619849508556,0.889347566093162,0.7047867608722993,0.5788236901456006,0.9151732906935345,44.9497012677182,8.989969963367788,66.66657486712016,52.07921502013618,1,1,-1,46126900.0,-14.970059880239518,61.27423822714682,6.066678812169801,61.27284520971425,1.2308237256456416,1,0.051709546466501166,0.003276843988707201,0.026929925890226372,6005.89990234375,1.946966716943588,5891.2001953125,0.4844168583463037,5862.7998046875,-0.0324038836037821,5864.7001953125,-0.373723805698789,5886.7001953125,0.2127949267029638,74.1967997984125,68.30332282826566,59.39504361484887,51.30213118417669,45.40004185267857,37.771484375,6092.5,1.1018718784570949,1
2019-02-07,6092.5,6105.89990234375,6026.10009765625,6026.10009765625,638800.0,1.1018718784570949,5975.7,6001.052676889473,5927.540087890625,5947.203799897297,5879.5550537109375,5881.379262494822,5737.340009765625,5815.382195597096,5838.17400390625,5853.215918576989,6007.32650390625,5927.612089671509,5931.531120469893,5854.623946244786,76.90717422510716,59.81168623337028,17.095487991736874,3.8842531945550096,4.257573050839847,5.437589012906763,77.1505326357677,95.11843266165756,91.04853730544721,-4.881567338342441,50.84287806919643,6040.23946390926,5879.5550537109375,5718.870643512615,0.05465869737775648,1.1626185640107782,0.7760200060635853,0.7196190497596116,0.5875756919509112,0.9246730770629483,47.44304130907065,8.30290437360703,70.21162966408498,54.49687030599602,1,1,-1,46765700.0,-32.58758970029548,23.225308641975317,15.286049449557847,62.0715571385952,1.2663197806445254,1,0.06190324952501536,0.014178269824083323,0.03373533360884472,6026.10009765625,0.3363391938086879,6005.89990234375,1.946966716943588,5891.2001953125,0.4844168583463037,5862.7998046875,-0.0324038836037821,5864.7001953125,-0.373723805698789,74.1706697331083,74.1967997984125,66.67018952005037,59.39504361484887,46.95717075892857,45.40004185267857,6071.5,-0.3446860894542491,0
2019-02-08,6071.5,6094.7001953125,6054.10009765625,6092.5,616500.0,-0.3446860894542491,6017.4400390625,6024.535117926316,5948.120068359375,5969.80310900688,5893.365063476563,5899.485999400077,5745.3380078125,5825.4260310638765,5837.03900390625,5857.53837563487,6007.916003417969,5929.04381017229,5953.064794243755,5870.688839115543,82.37595512821281,64.32454001233879,18.051415115874022,3.559736000974101,3.508529209385136,4.765934543871175,71.91138903167752,87.46815943761385,91.61083371886666,-12.531840562386156,51.028599330357146,6070.22189912982,5893.365063476563,5716.508227823306,0.060018964971067665,1.003613377072646,0.8640597796203934,0.7595093030112362,0.6031635180499233,0.9179328873636343,42.833054927509686,8.272685518067217,67.62522000096294,56.24731693199161,1,1,-1,46149200.0,-14.824537164962692,14.018864434991674,16.695059625212938,55.60954172036331,1.1844089439459362,1,0.05676985266036305,0.010583369765132744,0.03193151894769908,6092.5,1.1018718784570949,6026.10009765625,0.3363391938086879,6005.89990234375,1.946966716943588,5891.2001953125,0.4844168583463037,5862.7998046875,-0.0324038836037821,77.1505326357677,74.1706697331083,76.90717422510716,66.67018952005037,50.84287806919643,46.95717075892857,6060.7998046875,-0.1762364376595604,0
2019-02-11,6060.7998046875,6084.89990234375,6028.60009765625,6071.5,506100.0,-0.1762364376595604,6051.3599609375,6036.623346846711,5963.6400390625,5986.347962766992,5907.675048828125,5914.84921895126,5751.9880078125,5834.656375127548,5836.032001953125,5861.563354427992,6008.306501464844,5930.35481509284,5969.639411235101,5884.771132861613,84.86827837348756,68.43328768456854,16.434990688919015,2.8788634531542012,2.628009084002225,4.956182284335342,69.46091689298082,83.57009192850637,88.71889467592591,-16.429908071493625,52.750034877232146,6090.291055707057,5907.675048828125,5725.059041949193,0.06182330794079706,0.9192533789244749,0.952234376039627,0.7661451571662806,0.5951204122200304,0.9105037672253661,38.22608233401589,11.455659000733247,53.88382656096331,55.93218488252118,1,1,-1,45643100.0,-16.236345580933463,-23.120157982682667,27.001254705144294,50.47133318157114,1.1460684914763042,1,0.05368783739735972,0.008736788512679672,0.030028780472518585,6071.5,-0.3446860894542491,6092.5,1.1018718784570949,6026.10009765625,0.3363391938086879,6005.89990234375,1.946966716943588,5891.2001953125,0.4844168583463037,71.91138903167752,77.1505326357677,82.37595512821281,76.90717422510716,51.028599330357146,50.84287806919643,6079.10009765625,0.3019451814692209,1
2019-02-12,6079.10009765625,6093.2001953125,6053.39990234375,6060.7998046875,687900.0,0.3019451814692209,6066.0,6050.782263783224,5984.130029296875,6003.211987292311,5922.96005859375,5930.492159780307,5759.0680078125,5844.242403462007,5834.923002929688,5865.871012709739,6008.626000976563,5931.83486765566,5986.479516838354,5899.16587099455,87.3136458438048,72.2093593164158,15.104286527389007,1.2188047836750426,3.4881327760544423,5.294976971686971,75.94817898334094,90.23686532331512,87.09170556314511,-9.763134676684881,52.800048828125,6109.389094214363,5922.96005859375,5736.531022973137,0.06295130602818064,0.9187653455984418,0.5636883422235637,0.7137026295679776,0.5919347490146147,0.9105237561000821,39.31274741839363,7.616308525823991,67.5411815874705,57.48005110984775,1,1,-1,46331000.0,-6.611458050502305,-2.50850340136054,83.8813151563753,56.240184027676655,1.2493325946816072,1,0.05557011818745816,0.0117288206435604,0.03194173233595375,6060.7998046875,-0.1762364376595604,6071.5,-0.3446860894542491,6092.5,1.1018718784570949,6026.10009765625,0.3363391938086879,6005.89990234375,1.946966716943588,69.46091689298082,71.91138903167752,84.86827837348756,82.37595512821281,52.750034877232146,51.028599330357146,6063.60009765625,-0.2549719489892244,0
2019-02-13,6063.60009765625,6094.0,6053.0,6079.10009765625,664500.0,-0.2549719489892244,6073.5,6055.054875074233,6001.82001953125,6014.191643722118,5935.41005859375,5943.169106244682,5765.17201171875,5852.844665979428,5833.86400390625,5869.786440134422,6008.6930004882815,5933.145964471586,5998.344221579569,5911.346184080602,86.99803749896728,75.1670949529261,11.830942546041172,0.622293015255182,3.005077487802299,4.282323733671167,75.87661184766208,84.10974784336096,85.97223503172746,-15.890252156639036,53.542898995535715,6124.606514404928,5935.41005859375,5746.213602782573,0.06375177247854821,0.8387749482750253,0.6002736150884741,0.7382887162951076,0.5924878285444598,0.9096312294493634,38.87402275430535,4.855906335535461,77.79138253090117,60.18822863265488,1,1,-1,45666500.0,14.136035726554441,-2.950197166642321,52.51319715400504,55.22197316717032,1.2513459104433766,1,0.05176395176603421,0.00913794350343844,0.031155805638237864,6079.10009765625,0.3019451814692209,6060.7998046875,-0.1762364376595604,6071.5,-0.3446860894542491,6092.5,1.1018718784570949,6026.10009765625,0.3363391938086879,75.94817898334094,69.46091689298082,87.3136458438048,84.86827837348756,52.800048828125,52.750034877232146,6059.39990234375,-0.0692690026527831,0
